Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=139.AME.A.EU28.1.0.0.0.ZUTN
,AME.A.EU28.1.0.0.0.ZUTN
,European Union (28 countries) - Unemployment rate: total :- Member States: definition EUROSTAT - Percentage of active population - AMECO data class: Other data
Collection:,Unknown (U)
Period\Unit:,[Percentage of active population]
,,obs. status
2023,6.100000000000000,Normal value (A)
2022,6.300000000000000,Normal value (A)
2021,6.600000000000000,Normal value (A)
2020,6.800000000000000,Normal value (A)
2019,6.300000000000000,Normal value (A)
2018,6.800000000000000,Normal value (A)
2017,7.600000000000000,Normal value (A)
2016,8.500000000000000,Normal value (A)
2015,9.400000000000000,Normal value (A)
2014,10.200000000000000,Normal value (A)
2013,10.800000000000000,Normal value (A)
2012,10.500000000000000,Normal value (A)
2011,9.600000000000000,Normal value (A)
2010,9.600000000000000,Normal value (A)
2009,8.900000000000000,Normal value (A)
2008,7.000000000000000,Normal value (A)
2007,7.200000000000000,Normal value (A)
2006,8.200000000000000,Normal value (A)
2005,9.000000000000000,Normal value (A)
2004,9.200000000000000,Normal value (A)
2003,9.100000000000000,Normal value (A)
2002,9.000000000000000,Normal value (A)
2001,8.700000000000000,Normal value (A)
2000,9.200000000000000,Normal value (A)
